top - 11:26:42 up 22 min,  3 users,  load average: 3.4
Tasks: 204 total,   9 running, 195 sleeping,   0 stopp
%Cpu(s): 77.8 us, 22.2 sy,  0.0 ni,  0.0 id,  0.0 wa, 
KiB Mem :  1014756 total,    69872 free,   881304 used
KiB Swap:   839676 total,        0 free,   839676 used

  PID USER      PR  NI    VIRT    RES    SHR S %CPU
 1960 alyonas+  20   0  453136    260    156 S  0.0
 1964 alyonas+  20   0  375964    176    176 S  0.0
 1968 alyonas+  20   0  464812      0      0 S  0.0
 1972 alyonas+  20   0  375964      8      8 S  0.0
 1980 alyonas+  20   0  364704      0      0 S  0.0
 1984 alyonas+  20   0 1219956     68     68 S  0.0
 1991 geoclue   20   0  429136     68     64 S  0.0
 1995 alyonas+  20   0 1290524    200    200 S  0.0
 2007 alyonas+  20   0  411760    236    236 S  0.0
 2009 alyonas+  20   0  415772      0      0 S  0.0
 2019 alyonas+  20   0  925832    128    128 S  0.0
 2020 alyonas+  20   0  400692      0      0 S  0.0
 2030 alyonas+  20   0  391600      0      0 S  0.0
 2038 alyonas+  20   0  373968    148    128 S  0.0
 2052 alyonas+  20   0  527692    168      0 S  0.0
 2080 alyonas+  20   0  478512     20     20 S  0.0
 2090 alyonas+  20   0  705428   1256    352 S  0.0
 2091 alyonas+  20   0  187520    252    244 S  0.0
 2092 alyonas+  20   0  439168      0      0 S  0.0
 2098 alyonas+  20   0  538872      0      0 S  0.0
 2099 alyonas+  20   0  317860     40     40 S  0.0
 2101 alyonas+  20   0  374184      0      0 S  0.0
 2110 alyonas+  20   0  559092     16     16 S  0.0
 2113 alyonas+  20   0  454992    184    184 S  0.0
 2120 alyonas+  20   0  615232      0      0 S  0.0
 2123 alyonas+  20   0  622980      8      0 S  0.0
 2129 alyonas+  20   0  472232      0      0 S  0.0
 2142 alyonas+  20   0  376492      0      0 S  0.0
 2145 alyonas+  20   0  464428      0      0 S  0.0
 2147 alyonas+  20   0  714076    684    176 S  0.0
 2149 alyonas+  20   0  541532     40     40 S  0.0
 2150 alyonas+  20   0  463512     88     88 S  0.0
 2155 alyonas+  20   0  614248      0      0 S  0.0
 2162 alyonas+  20   0 1011840    732     16 S  0.0
 2163 alyonas+  20   0  376496     52     52 S  0.0
 2167 alyonas+  20   0  456952     80     80 S  0.0
 2194 alyonas+  20   0  608604    184    184 S  0.0
 2207 alyonas+  20   0 1023020   3312    120 S  0.0
 2216 alyonas+  20   0  464768     16      0 S  0.0
 2233 alyonas+  20   0 1108404   1252    148 S  0.0
 2239 alyonas+  20   0  273068    152    152 S  0.0
 2243 alyonas+  20   0  309984      0      0 S  0.0
 2249 alyonas+  20   0  529976    256    216 S  0.0
 2251 alyonas+  20   0 1492672    308    268 S  0.0
 2264 alyonas+  39  19  660724     96      0 S  0.0
 2268 alyonas+  39  19  640644    196    196 S  0.0
 2273 alyonas+  39  19  649240    836    164 S  0.0
 2277 alyonas+  39  19  561956    132    132 S  0.0
 2304 alyonas+  20   0 1359160    208    208 S  0.0
 2308 alyonas+  20   0  656460   3048      0 S  0.0
 2309 alyonas+  20   0 1026036   6724    688 R  0.0
 2325 alyonas+  20   0  302300    128    128 S  0.0
 2346 alyonas+  20   0  462360     96     96 S  0.0
 2382 alyonas+  20   0 1559880      0      0 S  0.0
 2427 alyonas+  20   0 1344572    208    208 S  0.0
 2495 alyonas+  20   0 1489012     28     28 S  0.0
 2515 root      20   0  586124    216      0 S  0.0
 6199 alyonas+  20   0  745164   7000   3520 R  0.0
 6205 alyonas+  20   0    8536     88     88 S  0.0
 6207 alyonas+  20   0  116848    408    408 S  0.0
 6284 root      20   0       0      0      0 S  0.0
 6287 alyonas+  20   0  921496   4908   1304 R  0.0
 6405 alyonas+  20   0  616612    188    188 S  0.0
 6433 alyonas+  20   0  493644    112    112 S  0.0
 6482 root      20   0       0      0      0 R  0.0
 6615 root      20   0       0      0      0 S  0.0
 6659 root      20   0       0      0      0 S  0.0
 6703 alyonas+  20   0  116848    384    384 S  0.0
 6721 root      20   0  350492    196    196 S  0.0
 6772 alyonas+  20   0  113284    588    448 S  0.0
 6861 alyonas+  20   0  162100    944    524 S  0.0
 6890 root      20   0  108052      0      0 S  0.0
 7081 alyonas+  20   0  162100   2088   1476 R  0.0
